A=5639 B=3806 C=9272 X=324213548 Y=1857018146 Z=48481004605 M=8717
A=2220 B=7850 C=5341 X=407718608 Y=4231856930 Z=44381625496 M=5132
A=6212 B=3838 C=8684 X=696544588 Y=1819365715 Z=45075211875 M=3491
A=2581 B=4227 C=9705 X=141222266 Y=2414814729 Z=73538723072 M=8190
A=5233 B=6724 C=6177 X=190083575 Y=9522320723 Z=62264344786 M=1601
A=9020 B=9406 C=9027 X=919986820 Y=4811795302 Z=58403972991 M=8346
A=8500 B=5823 C=7145 X=375404036 Y=4763326024 Z=18030683476 M=8411
A=2037 B=4563 C=6915 X=144302489 Y=4334289857 Z=77607269856 M=9875
A=8292 B=5521 C=7527 X=689160567 Y=6767568312 Z=37555869040 M=7970
A=9440 B=9111 C=7130 X=985106419 Y=2937281236 Z=17798116110 M=6343
A=7603 B=5600 C=7967 X=554478939 Y=4260528383 Z=39857527827 M=2686
A=6522 B=9101 C=8051 X=421569703 Y=5377862859 Z=50537433707 M=6903
A=9139 B=6041 C=5406 X=252485909 Y=9066635574 Z=93241802498 M=9630
A=5751 B=4594 C=8399 X=264365105 Y=7360251309 Z=79214524034 M=1721
A=8945 B=5486 C=9392 X=727160634 Y=9615091085 Z=84977104693 M=5594
A=4827 B=9929 C=8800 X=689192360 Y=5447236920 Z=64999138507 M=1288
A=8103 B=4694 C=5837 X=998362681 Y=8689099351 Z=50533209752 M=2679
A=8983 B=9710 C=6984 X=539700889 Y=9427200758 Z=39172135788 M=6685
A=4352 B=5525 C=8523 X=415139191 Y=5882642497 Z=85994024649 M=8166
A=6618 B=7040 C=9835 X=327830927 Y=3772379794 Z=35401474281 M=6285
A=2468 B=5343 C=9765 X=635474480 Y=2618043490 Z=97476099024 M=6975
A=3323 B=9177 C=8863 X=124273443 Y=3026668209 Z=25560954621 M=7465
A=2635 B=9537 C=6185 X=182919025 Y=2466339847 Z=80471753917 M=2788
A=5189 B=8768 C=7725 X=787030390 Y=1929627764 Z=52680861627 M=6994
A=8743 B=6678 C=7334 X=883524821 Y=3292070446 Z=92406687543 M=2559
A=7922 B=7587 C=9062 X=624460094 Y=5256302255 Z=11033113103 M=8681
A=2507 B=7283 C=8757 X=267092958 Y=6279066147 Z=82406029829 M=1093
A=2731 B=5894 C=5950 X=997470841 Y=4523407230 Z=30114962602 M=1272
A=2645 B=8609 C=5195 X=860755367 Y=4185378281 Z=58605672220 M=9699
A=2811 B=6760 C=8854 X=228918845 Y=6870534746 Z=14591888270 M=5155
A=3592 B=3934 C=9275 X=481810742 Y=2235091484 Z=97703232973 M=8429
A=5222 B=5559 C=5415 X=773986797 Y=4132262366 Z=72785409959 M=7623
A=3167 B=8776 C=5804 X=391361215 Y=1637544351 Z=82188645251 M=8157
A=5288 B=7248 C=6100 X=862849181 Y=7507051971 Z=60149926264 M=9481
A=4161 B=8478 C=6204 X=235364276 Y=9000886795 Z=43377773270 M=9523
A=2806 B=8020 C=8384 X=995148146 Y=1771606370 Z=56378448842 M=7111
A=4224 B=4491 C=6752 X=717817807 Y=8761012031 Z=37134588213 M=8616
A=2304 B=8286 C=7471 X=388904448 Y=6839764665 Z=72892741782 M=7868
A=5210 B=9967 C=9937 X=908561216 Y=7634860745 Z=90493822024 M=8703
A=2222 B=5661 C=6017 X=224191410 Y=5489358382 Z=70554539107 M=6740
A=6307 B=3829 C=9761 X=509764548 Y=7895420289 Z=54685452692 M=5312
A=4293 B=3566 C=6925 X=451188833 Y=4271860062 Z=54935702012 M=1817
A=7425 B=5314 C=9524 X=456642584 Y=1115501632 Z=56003360114 M=9325
A=7736 B=7470 C=5460 X=862812413 Y=1342380686 Z=23109831530 M=4372
A=6948 B=7648 C=8789 X=605130022 Y=8970483563 Z=82060780010 M=1930
A=6397 B=7493 C=6664 X=906485622 Y=1398483931 Z=66161607873 M=8538
A=9824 B=9683 C=7684 X=913169519 Y=2498879386 Z=74069154242 M=7933
A=5084 B=5136 C=5781 X=415749165 Y=4131178843 Z=47570055806 M=4395
A=6399 B=8805 C=9952 X=182836480 Y=1255260679 Z=88501596197 M=5723
A=8678 B=8159 C=6208 X=184870833 Y=1749716566 Z=36578284449 M=2186
A=9609 B=4500 C=8240 X=392274877 Y=2760698716 Z=11799294326 M=3953
A=6768 B=6084 C=7611 X=837736638 Y=6808208433 Z=25078294173 M=1707
A=4180 B=4638 C=6056 X=213034395 Y=2242080398 Z=22531325144 M=5505
A=4153 B=4670 C=8729 X=198333263 Y=4678898159 Z=80222719745 M=7046
A=2819 B=8861 C=7556 X=993159563 Y=7311368223 Z=46135654033 M=1471
A=7023 B=7995 C=5957 X=637904862 Y=6068484752 Z=59074084152 M=6129
A=3736 B=5658 C=9211 X=488047055 Y=7195095272 Z=18838005013 M=4374
A=3301 B=9872 C=8377 X=488655197 Y=2169499255 Z=35527543265 M=2838
A=6830 B=6397 C=8037 X=133790881 Y=5416639757 Z=21506390508 M=9510
A=9870 B=3260 C=8871 X=549539469 Y=4124696915 Z=72319740801 M=3807
A=8761 B=8083 C=8556 X=205516490 Y=4533323400 Z=75167276004 M=1783
A=3376 B=5239 C=8815 X=354427711 Y=8892819657 Z=22614996458 M=4379
A=5492 B=7287 C=7758 X=300987714 Y=1145969047 Z=39912859312 M=2248
A=6025 B=7815 C=7077 X=730126217 Y=1654409268 Z=53744067263 M=5986
A=6944 B=9069 C=8092 X=919530080 Y=2166901786 Z=77458310262 M=9325
